,2025,,,,,,,,,,,,,Oct,,,,,,,,,,
,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,TOTAL,,$,,,,,,,,,,
INGRESOS,S/.31.102,S/.17.750,S/.31.000,S/.17.750,S/.17.750,S/.27.750,S/.17.750,S/.17.750,S/.17.750,S/.31.000,S/.31.000,S/.258.352,,,,,,,,,,,,
INGRESOS ANA,S/.26.602,S/.13.250,S/.26.500,S/.13.250,S/.13.250,S/.23.250,S/.13.250,S/.13.250,S/.13.250,S/.26.500,S/.26.500,S/.208.852,,,,,,,,,,,,
Sueldo,S/.13.250,S/.13.250,S/.13.250,S/.13.250,S/.13.250,S/.13.250,S/.13.250,S/.13.250,S/.13.250,S/.13.250,S/.13.250,S/.145.750,,,,,,,,,,,,
Grati,,,S/.13.250,,,,,,,S/.13.250,,S/.26.500,,,,,,,,,,,,
STAR / POY,,,,,,,,,,,,S/.0,,,,,,,,,,,,
Sueldo Extra,,,,,,,,,,,S/.13.250,S/.13.250,,,,,,,,,,,,
Utilidades,,,,,,S/.10.000,,,,,,S/.10.000,,,,,,,,,,,,
Ahorros (emergencia),S/.13.352,,,,,,,,,,,S/.13.352,,,,,,,,,,,,
INGRESOS Marce,S/.4.500,S/.4.500,S/.4.500,S/.4.500,S/.4.500,S/.4.500,S/.4.500,S/.4.500,S/.4.500,S/.4.500,S/.4.500,S/.49.500,,,,,,,,,,,,
Sueldo,S/.4.500,S/.4.500,S/.4.500,S/.4.500,S/.4.500,S/.4.500,S/.4.500,S/.4.500,S/.4.500,S/.4.500,S/.4.500,S/.49.500,,,,,,,,,,,,
Others,,,,,,,,,,,,S/.0,,,,,,,,,,,,
EGRESOS,S/.27.527,S/.15.242,S/.26.787,S/.14.695,S/.12.587,S/.14.195,S/.11.587,S/.13.195,S/.11.587,S/.13.195,S/.11.587,S/.160.592,,,,,,,,,,,,
FIJOS (15 c/mes),S/.10.367,S/.12.175,S/.10.567,S/.12.175,S/.10.567,S/.12.175,S/.10.567,S/.12.175,S/.10.567,S/.12.175,S/.10.567,S/.113.505,,,,,,,,,,,,
Alquiler ,S/.2.415,S/.2.415,S/.2.415,S/.2.415,S/.2.415,S/.2.415,S/.2.415,S/.2.415,S/.2.415,S/.2.415,S/.2.415,S/.26.565,,690,,,,,,,,,,
Compras Casa,S/.1.500,S/.1.500,S/.1.500,S/.1.500,S/.1.500,S/.1.500,S/.1.500,S/.1.500,S/.1.500,S/.1.500,S/.1.500,S/.16.500,,,,,,,,,,,,
Luz,S/.180,S/.180,S/.180,S/.180,S/.180,S/.180,S/.180,S/.180,S/.180,S/.180,S/.180,S/.1.980,,,,,,,,,,,,
Teléfono,S/.165,S/.165,S/.165,S/.165,S/.165,S/.165,S/.165,S/.165,S/.165,S/.165,S/.165,S/.1.815,,,,,,,,,,,,
Mantenimiento,S/.310,S/.310,S/.310,S/.310,S/.310,S/.310,S/.310,S/.310,S/.310,S/.310,S/.310,S/.3.410,,,,,,,,,,,,
Internet,S/.99,S/.99,S/.99,S/.99,S/.99,S/.99,S/.99,S/.99,S/.99,S/.99,S/.99,S/.1.089,,,,,,,,,,,,
Psicólogas,S/.1.240,S/.1.240,S/.1.240,S/.1.240,S/.1.240,S/.1.240,S/.1.240,S/.1.240,S/.1.240,S/.1.240,S/.1.240,S/.13.640,,,,,,,,,,,,
Membresías,S/.193,S/.193,S/.193,S/.193,S/.193,S/.193,S/.193,S/.193,S/.193,S/.193,S/.193,S/.2.118,,,,,,,,,,,,
